188,0,5,,,,,,2.19,,0,,,,,,14,,,
189,1,5,,420,540,,13,3.35,4,2.67,,,,,,8,,,
190,1,5,,580,580,,18,2.84,4,0,,,,,,11,,,
191,1,5,0,510,600,,15,2.67,4,0,,,,,,6,,,
192,0,5,,,,,15,3.31,3,2.33,,,,,,11,,,
193,1,5,,480,510,2.31,20,2.56,1,1.67,3.67,3,4,3,2.33,8,4,4,1
194,0,1,,,,,9,2.5,3,2,,,,,,1,,,
195,1,5,1,570,540,,19,2.9,4,1,,,,,,1,,,
196,0,3,1,450,440,,19,2.43,4,1,,,,,,1,,,
197,0,5,1,,,,11,2.8,3,2.33,,,,,,11,,,
198,1,5,0,,,,14,2.37,4,0,,,,,,4,,,
199,0,5,1,610,500,2.72,19,2.64,4,3,,,,,,1,,,
200,0,5,0,380,470,2.9,15,2.57,4,0,,,,,,6,,,
201,0,5,,580,610,,11,3.71,4,4,,,,,,8,,,
202,1,5,,,,,,0.3,,0,,,,,,8,,,
203,1,3,,540,530,3.19,,3.26,,0,,,,,,8,,,
204,1,5,0,,,,,3.35,,0,,,,,,1,,,
205,0,5,0,580,500,3.71,12,3.15,4,1.67,2,,,,,1,4,,
206,1,5,,,,,,1.23,,1,0,,,,,6,1,,
207,0,5,,,,,,3.7,,4,,,,,,4,,,
208,0,3,0,410,520,,43,2.55,3,2,,,,,,11,,,
209,0,5,1,,,,,1.73,,0,,,,,,1,,,
210,1,2,,,,,11,3.48,4,4,,,,,,11,,,
211,1,2,,670,490,,13,2.75,4,1.67,,,,,,11,,,
212,1,2,0,550,640,3.19,15,3.6,4,3,,,,,,11,,,
213,1,5,,520,500,,34,2.61,3,0,,,,,,1,,,
214,0,5,0,620,630,3.7,15,3.28,2,3,,,,,,11,,,
215,1,5,,430,540,,,1.11,,0,,,,,,8,,,
216,1,5,,,,,35,3.61,4,3,,,,,,1,,,
217,1,5,0,630,680,3.1,,0.89,,1.67,,,,,,1,,,
218,0,5,0,,,,,3.06,,0,,,,,,1,,,
219,0,5,,,,,31,2.84,3,1,,,,,,8,,,
220,1,5,,620,650,3.44,,3.24,,3.67,,,,,,4,,,
221,0,2,,,,,,3.39,,0,,,,,,8,,,
222,1,4,,,,,,,,0,,,,,,8,,,
224,1,4,,440,460,2.89,,0.13,,0,,,,,,8,,,
225,0,5,1,520,590,,,3.73,,3.33,,,,,,8,,,
226,1,5,,720,620,,48,2.47,4,3,3.33,0,,,,6,4,4,
227,0,5,0,600,590,3.51,18,3.1,3,0,,,,,,1,,,
228,1,5,,,,,,1.85,,0,,,,,,1,,,
229,1,5,,,,,,2.71,,0,,,,,,1,,,
230,0,5,,,,,,1.91,,0,,,,,,8,,,
231,1,5,1,470,490,,18,2.66,3,0,,,,,,1,,,
232,1,5,,470,560,3.7,15,2.63,4,1.67,0,,,,,1,1,,
233,1,5,,,,,,1.94,,0,,,,,,6,,,
234,0,5,1,530,510,3.71,,2.75,,1.67,,,,,,1,,,
235,1,5,,,,,,0,,0,,,,,,8,,,
236,1,2,,,,,,1.24,,2,,,,,,11,,,
237,0,5,,490,530,,,3,,3,,,,,,1,,,
238,1,5,,490,640,,,2.31,,0,0,,,,,6,4,,
239,1,5,0,,,,,0.27,,0,,,,,,1,,,
240,1,5,,,,,,3,,2.33,,,,,,4,,,
241,1,2,,,,,,2.42,,0,,,,,,1,,,
242,1,5,0,560,550,2.57,15,3.3,4,2,,,,,,11,,,
243,1,3,,440,430,,,1.9,,0,,,,,,11,,,
244,0,3,,650,550,2.19,16,2.98,3,1,,,,,,6,,,
245,1,5,,650,710,3.95,15,3.85,1,4,4,3.33,4,3.67,4,6,1,7,1
246,1,5,,560,800,3.53,16,3.7,1,4,4,4,3.33,3.67,2,1,1,7,1
247,0,5,1,480,550,3.38,15,2.97,2,3.33,,,,,,6,,,
248,1,5,0,580,600,,16,3.49,4,2.67,,,,,,6,,,
249,0,5,0,480,720,,11,3.51,2,3.67,2.67,,,,,1,1,,
250,1,3,,690,760,,23,3.67,3,0,3,3.67,,,,8,4,5,
251,1,4,1,430,510,,20,2.74,4,0,,,,,,4,,,
252,0,5,,590,590,,15,2.66,4,1.67,,,,,,11,,,
253,1,5,,750,670,,30,3.58,3,3.67,,,,,,1,,,
254,0,5,,570,490,,19,3.11,4,2.33,,,,,,11,,,
255,1,5,,,,,,2.45,,3.67,,,,,,8,,,
257,0,5,,,,,20,3.67,3,2.67,,,,,,1,,,
258,1,5,0,620,580,,18,3.39,3,4,,,,,,8,,,
260,1,5,0,460,510,,15,2.55,4,2.33,,,,,,6,,,
261,1,5,1,570,630,3.42,,0.26,,0,,,,,,6,,,
262,0,5,,,,,30,2.99,3,0,,,,,,1,,,
264,0,5,0,520,500,,16,3.15,4,0,,,,,,4,,,
265,0,5,0,420,520,3.54,15,3.15,4,3.33,,,,,,4,,,
266,0,3,1,470,400,3.28,15,2.75,4,1.67,,,,,,11,,,
267,0,5,,,,,42,3.79,2,3.33,,,,,,8,,,
268,0,5,,480,580,3.08,18,2.75,3,2.67,,,,,,11,,,
269,1,5,,,,,,3.74,,3.33,,,,,,4,,,
270,1,5,0,570,560,3.6,15,2.51,3,2.33,0,,,,,8,1,,
271,1,5,1,520,580,3.39,,3.03,,3.67,4,3.33,2,4,2.33,6,1,4,5
272,0,5,,370,480,,,3.85,,0,,,,,,1,,,
273,0,5,1,530,590,3.69,15,3.42,3,3.33,2.67,3.33,,,,8,4,4,
274,0,5,0,510,620,3.84,15,2.99,2,1.67,,,,,,11,,,
275,1,5,,490,520,2.08,44,2.68,3,4,,,,,,1,,,
276,0,5,,,,,,3.84,,3.67,,,,,,8,,,
277,1,5,0,580,560,,18,2.25,4,2,1,,,,,8,4,,
278,0,4,,,,,,2.49,,0,,,,,,1,,,
279,1,5,1,470,520,2.97,17,3.36,3,3.67,2.33,2,,,,4,4,4,
280,1,5,0,640,620,2.92,19,3.2,4,2.33,,,,,,11,,,
281,1,5,,660,800,3.79,15,3.86,2,4,4,,,,,6,1,,
282,1,5,,560,550,,,2.07,,0,,,,,,8,,,
283,1,5,,,,,12,2.86,3,0,,,,,,4,,,
284,0,5,0,610,510,,,1.68,,0,,,,,,1,,,
285,0,5,1,,,,11,3.6,3,2.33,,,,,,11,,,
286,1,5,,,,,19,2.29,4,3.33,,,,,,1,,,
288,1,5,,,,,8,2.96,4,2.67,,,,,,4,,,
289,1,5,0,,,1.93,,2.17,,3.33,1.67,1,,,,1,4,4,
290,1,5,0,480,540,3.11,,2.09,,3,,,,,,1,,,
291,0,5,1,660,600,,,3.98,,0,,,,,,1,,,
292,0,5,1,440,400,2.68,,1.54,,1,,,,,,11,,,
293,1,5,1,610,670,4.07,15,3.22,4,2.33,3,,,,,8,1,,
294,1,5,1,,,,9,3.48,3,3.33,0,,,,,1,4,,
